SIC_Section,SIC_Codes,SIC_Classification,id,ref_no,name,pointx_class,groupname,categoryname,classname,feature_easting,feature_northing,pos_accuracy,uprn,topo_toid,topo_toid_version,usrn,usrn_mi,distance,address_detail,street_name,locality,geographic_county,postcode,admin_boundary,telephone_number,url,brand,qualifier_type,qualifier_data,provenance,supply_date
Information and Communication,5811,Book Publishing,5683,64364089,Archetype Publications,7420599,Manufacturing and Production,Industrial Products,Published Goods,529895,179687,1,10033530502,osgb1000042216418,4,8401270,1,9.1,1,Birdcage Walk,London,Greater London,SW1H 9JJ,City of Westminster London Boro,2073800800,www.archetype.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,5779,68712279,Welbeck Publishing Group,7420599,Manufacturing and Production,Industrial Products,Published Goods,529214,181573,1,2.00E+11,osgb1000005427165,4,8401448,1,22.1,20-22,Mortimer Street,London,Greater London,W1T 3JW,City of Westminster London Boro,2076120400,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,6705,78352383,Pluto Press,7420599,Manufacturing and Production,Industrial Products,Published Goods,530697.3,180750.7,1,10033625011,osgb1000005573361,5,8401576,1,110.2,New Wing Somerset House,Strand,London,Greater London,WC2R 1LA,City of Westminster London Boro,2083482724,www.plutobooks.com,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,7245,80844491,Rough Guides,7420599,Manufacturing and Production,Industrial Products,Published Goods,530475.9,180636.2,1,1.00E+11,osgb1000005574104,11,8400235,3,26.5,3,Savoy Place,London,Greater London,WC2R 0BN,City of Westminster London Boro,2070103000,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,7488,85593259,Penguin Group,7420599,Manufacturing and Production,Industrial Products,Published Goods,530426,180683.8,1,1.00E+11,osgb1000005574117,5,8401576,1,16.8,80,Strand,London,Greater London,WC2R 0RE,City of Westminster London Boro,2070103000,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,7568,85583787,Penguin Random House,7420599,Manufacturing and Production,Industrial Products,Published Goods,529808.2,178429.3,1,10033544912,osgb1000005419593,3,8401243,1,14.8,Random House 20,Vauxhall Bridge Road,London,Greater London,SW1V 2SA,City of Westminster London Boro,2078408400,www.penguinrandomhouse.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,8269,96521796,Spiramus Press Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,527947,181507,1,1.00E+11,osgb1000042196224,2,8401272,1,16.6,102,Blandford Street,London,Greater London,W1U 8AG,City of Westminster London Boro,2072240080,www.spiramus.com,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,8434,95730594,Akira Press,7420599,Manufacturing and Production,Industrial Products,Published Goods,529572,179164,1,,osgb1000042216667,6,8402004,3,26.7,"Concession, Premier House, 10",Greycoat Place,London,Greater London,SW1P 1SB,City of Westminster London Boro,8704601037,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,9330,104054585,Pearson Assessment,7420599,Manufacturing and Production,Industrial Products,Published Goods,530421,180689,1,1.00E+11,osgb1000005574117,5,8401576,2,9.7,80 Strand,Westminster,London,Greater London,WC2R 0RL,City of Westminster London Boro,3456308888,www.pearsonclinical.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,9615,108278223,Trolley Books & T J Boulting Art Gallery,7420599,Manufacturing and Production,Industrial Products,Published Goods,529190,181683,1,1.00E+11,osgb1000005426851,3,8401025,1,14.5,York House 59,Riding House Street,London,Greater London,W1W 7EG,City of Westminster London Boro,2077296591,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,9878,105218734,Andersen Press Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,529808.2,178429.3,1,10033544912,osgb1000005419593,3,8401243,1,14.8,Random House 20,Vauxhall Bridge Road,London,Greater London,SW1V 2SA,City of Westminster London Boro,2078408701,www.andersenpress.co.uk,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,11280,123148390,Internal Eclipse Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,526566,181136,1,1.00E+11,osgb1000042175047,3,8400790,1,14.6,Flat 3 Chilworth House,Chilworth Mews,London,Greater London,W2 3RG,City of Westminster London Boro,7845493312,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,12016,125864038,Bebegigi,7420599,Manufacturing and Production,Industrial Products,Published Goods,525233,181154,1,1.00E+11,osgb1000004193850,2,8401664,1,15.8,27,Artesian Road,London,Greater London,W2 5DA,City of Westminster London Boro,2072436489,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,12845,129830167,Stacey Publishing Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,529125,179449,1,10033531616,osgb1000042217529,4,8400311,1,24.8,19-21,Catherine Place,London,Greater London,SW1E 6DX,City of Westminster London Boro,2072217166,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,16600,165514909,Mayabaum Verlag,7420599,Manufacturing and Production,Industrial Products,Published Goods,529565,179264,1,1.00E+11,osgb1000042216682,5,8400269,2,14.7,"Suite 125, 77 Victoria Street",Westminster,London,Greater London,SW1H 0HW,City of Westminster London Boro,7985670755,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,16929,168654332,Ridinghouse,7420599,Manufacturing and Production,Industrial Products,Published Goods,529430,181003,1,1.00E+11,osgb1000005429209,5,8400448,1,10.2,46,Lexington Street,London,Greater London,W1F 0LP,City of Westminster London Boro,2077349008,,,,,118 Information,2024/6/1
Information and Communication,5811,Book Publishing,17947,179361991,Marble Hill Publishers,7420599,Manufacturing and Production,Industrial Products,Published Goods,527519,181600,1,1.00E+11,osgb1000042196988,9,8400808,1,11.9,Flat 58 Macready House 75,Crawford Street,London,Greater London,W1H 5LP,City of Westminster London Boro,7771767814,www.marblehillpublishers.co.uk,,,,118 Information,2024/6/1
Information and Communication,5813,Publishing of Newspapers,4611,54703895,letsrecycle.com,7420599,Manufacturing and Production,Industrial Products,Published Goods,530204,178669,1,,osgb1000005571626,3,8401419,2,27.5,"Suite 1.15 Millbank Tower, 21-24 Millbank",Westminster,London,Greater London,SW1P 4QP,City of Westminster London Boro,2076334500,www.letsrecycle.com,,,,118 Information,2024/6/1
Information and Communication,5813,Publishing of Newspapers,6380,68770738,Director Publications Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,529764,180350,1,1.00E+11,osgb1000005425034,4,8401211,1,25.7,116,Pall Mall,London,Greater London,SW1Y 5ED,City of Westminster London Boro,2080784140,www.director.co.uk,,,,118 Information,2024/6/1
Information and Communication,5813,Publishing of Newspapers,7803,85580004,The Telegraph,7420599,Manufacturing and Production,Industrial Products,Published Goods,528813.4,178952.8,1,10033544550,osgb1000005284384,8,8401056,1,147.9,Unit 42 Main Concourse Victoria Station,Terminus Place,London,Greater London,SW1V 1JT,City of Westminster London Boro,2079312000,www.telegraph.co.uk,,,,118 Information,2024/6/1
Information and Communication,5813,Publishing of Newspapers,12125,127730327,Independent News Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,528696,181095,1,1.00E+11,osgb1000005294498,3,8401459,1,20.9,Tartan House 94,New Bond Street,London,Greater London,W1S 1SJ,City of Westminster London Boro,8712341991,,,,,118 Information,2024/6/1
Information and Communication,5813,Publishing of Newspapers,14562,156929371,The Church of England Newspaper,7420599,Manufacturing and Production,Industrial Products,Published Goods,530100,179281,1,1.00E+11,osgb1000005573121,4,8401369,1,14.3,14,Great College Street,London,Greater London,SW1P 3RX,City of Westminster London Boro,2072222018,,,,,118 Information,2024/6/1
Information and Communication,5813,Publishing of Newspapers,15408,161948479,Idler,7420599,Manufacturing and Production,Industrial Products,Published Goods,525235,181795,1,1.00E+11,osgb1000042155646,5,8400664,3,22.1,Great Western Studios,Westminster,London,Greater London,W2 5EU,City of Westminster London Boro,2031767907,www.idler.co.uk,,,,118 Information,2024/6/1
Information and Communication,5813,Publishing of Newspapers,15886,163793207,The Gazette,7420599,Manufacturing and Production,Industrial Products,Published Goods,531124,181230,1,10033610890,osgb1000005733287,3,8100118,3,24.7,"The Law Society, 113",Chancery Lane,London,Greater London,WC2A 1PL,City of Westminster London Boro,2080494000,,,,,118 Information,2024/6/1
Information and Communication,5813,Publishing of Newspapers,17259,166879509,The Westminster Gazette,7420599,Manufacturing and Production,Industrial Products,Published Goods,531122,181171,1,1.00E+11,osgb1000005733464,3,8400015,1,6.9,7,Bell Yard,London,Greater London,WC2A 2JR,City of Westminster London Boro,2030931860,www.thewestminstergazette.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,4436,54740324,The Nexus Group,7420599,Manufacturing and Production,Industrial Products,Published Goods,529712,180508,1,1.00E+11,osgb1000042217759,8,8400095,1,26.4,Greener House 66-68,Haymarket,London,Greater London,SW1Y 4RF,City of Westminster London Boro,2074517050,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5595,68692493,Another Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,530953,180897,1,10033616792,osgb5000005256132513,1,8400326,1,21.6,2,Arundel Street,London,Greater London,WC2R 3DA,City of Westminster London Boro,2073360766,www.anothermag.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5598,64367594,Bone & Joint,7420599,Manufacturing and Production,Industrial Products,Published Goods,530309,180529,1,1.00E+11,osgb1000005574056,5,8400917,1,9.2,22,Buckingham Street,London,Greater London,WC2N 6ET,City of Westminster London Boro,2077820010,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5600,64400096,Oldie Publications Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,529128,181481,1,10033604354,osgb1000005428446,4,8401379,1,17,First Floor South Moray House 23-31,Great Titchfield Street,London,Greater London,W1W 7PA,City of Westminster London Boro,2074368801,www.theoldie.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5601,64353309,Glamour Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,529003.8,181055.9,1,,osgb5000005289035887,1,8400620,3,6,"Vogue House, 1 Hanover Square",Westminster,London,Greater London,W1S 1JU,City of Westminster London Boro,2074999080,www.glamourmagazine.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5603,64368675,Japan Journals Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,529340,181425,1,,osgb1000005428631,3,8400701,3,11.8,Suite 1 Fourth Floor South St Georges House 14-17,Wells Street,London,Greater London,W1T 3PD,City of Westminster London Boro,2073073210,www.japanjournals.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5615,64366900,Alain Charles Publishing,7420599,Manufacturing and Production,Industrial Products,Published Goods,528811.1,179314.5,1,10033602743,osgb1000005288115,2,8400179,1,15.2,Basement East 11-13,Lower Grosvenor Place,London,Greater London,SW1W 0EX,City of Westminster London Boro,2078347676,www.alaincharles.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5623,64350578,Informa,7420599,Manufacturing and Production,Industrial Products,Published Goods,529456,179174,1,10033617140,osgb5000005104874762,2,8400975,1,11.9,5,Howick Place,London,Greater London,SW1P 1WG,City of Westminster London Boro,2080520400,www.informa.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5630,64367030,Travel Weekly Group,7420599,Manufacturing and Production,Industrial Products,Published Goods,528816,179060,1,1.00E+11,osgb1000005287983,5,8400103,1,21.7,Terminal House 52,Grosvenor Gardens,London,Greater London,SW1W 0AU,City of Westminster London Boro,2078814800,www.travelweekly.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5649,64345059,S A G A Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,529322,179464,1,1.00E+11,osgb1000042217665,3,8400913,1,19.5,84-85,Buckingham Gate,London,Greater London,SW1E 6PD,City of Westminster London Boro,8000561057,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5653,64343607,Harper's Bazaar,7420599,Manufacturing and Production,Industrial Products,Published Goods,529800.9,180657.5,1,10033640714,osgb1000042217859,7,8400614,1,11.3,30,Panton Street,London,Greater London,SW1Y 4AJ,City of Westminster London Boro,2074395000,www.harpersbazaar.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5658,64349498,Hearst Magazines UK,7420599,Manufacturing and Production,Industrial Products,Published Goods,529800.9,180657.5,1,10033640714,osgb1000042217859,7,8400614,1,11.3,30,Panton Street,London,Greater London,SW1Y 4AJ,City of Westminster London Boro,2074395000,www.hearst.co.uk,Hearst Magazines UK,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5665,64356432,Literary Review,7420599,Manufacturing and Production,Industrial Products,Published Goods,529430,180997,1,1.00E+11,osgb1000042219118,8,8400448,1,7.6,44,Lexington Street,London,Greater London,W1F 0LW,City of Westminster London Boro,2074379392,www.literaryreview.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5666,64362980,Future Plc,7420599,Manufacturing and Production,Industrial Products,Published Goods,526859,181319,1,1.00E+11,osgb1000042175262,2,8400571,1,3.2,1月10日,Praed Mews,London,Greater London,W2 1QY,City of Westminster London Boro,1225442244,www.futurenet.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5672,64357548,Art Monthly,7420599,Manufacturing and Production,Industrial Products,Published Goods,529815,180262,1,1.00E+11,osgb1000005424972,2,8400779,1,31.9,Nash House 12,Carlton House Terrace,London,Greater London,SW1Y 5AH,City of Westminster London Boro,2072400389,www.artmonthly.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5673,64364601,New Statesman,7420599,Manufacturing and Production,Industrial Products,Published Goods,531052,180961,1,10033613211,osgb1000005730522,4,8401324,1,14.9,"Standard House, 12-13",Essex Street,London,Greater London,WC2R 3AA,City of Westminster London Boro,2079366400,www.newstatesman.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5674,64364618,Communications International Group Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,529231,180878,1,10033580441,osgb1000042219241,4,8401217,1,32.7,Room 244 Second Floor Linen Hall 162-168,Regent Street,London,Greater London,W1B 5TB,City of Westminster London Boro,2074341530,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5675,64356818,Travel Bulletin Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,528811.1,179314.5,1,10033537620,osgb1000005288115,2,8400179,1,15.2,"First Floor, 11-13",Lower Grosvenor Place,London,Greater London,SW1W 0EX,City of Westminster London Boro,2079730136,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5678,64357555,10 Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,529382,180774,1,1.00E+11,osgb1000042219543,3,8400181,1,7.8,3,Lower John Street,London,Greater London,W1F 9DX,City of Westminster London Boro,2074340042,www.10magazine.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5679,64361780,Conde Nast Publications,7420599,Manufacturing and Production,Industrial Products,Published Goods,528951,181019,1,10033595937,osgb1000005294655,13,8401494,1,27.6,Ground Floor Front Vogue House 1-2,Hanover Square,London,Greater London,W1S 1HA,City of Westminster London Boro,2074999080,www.condenast.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5682,64363418,Private Eye Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,529598,181186,1,1.00E+11,osgb1000042221113,3,8400024,1,14.8,6,Carlisle Street,London,Greater London,W1D 3BN,City of Westminster London Boro,2074374017,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5854,68722637,The Week Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,525913,180721,1,10092023938,osgb1000042152035,5,8401512,1,24.5,32,Queensway,London,Greater London,W2 3RX,City of Westminster London Boro,2038903787,www.theweek.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,5862,64389827,August Media,7420599,Manufacturing and Production,Industrial Products,Published Goods,528026,181725,1,1.00E+11,osgb1000005293312,3,8401123,1,24.4,82,Baker Street,London,Greater London,W1U 6AE,City of Westminster London Boro,2077493300,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,6372,75346097,R C N I,7420599,Manufacturing and Production,Industrial Products,Published Goods,528747,181306,1,10033590004,osgb1000005294288,4,8400925,1,26.6,20-21,Cavendish Square,London,Greater London,W1G 0RN,City of Westminster London Boro,2084231066,www.rcni.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,6479,80836462,Nikon Owner Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,529280,178583,1,1.00E+11,osgb1000005419079,4,8400796,1,19.3,40,Churton Street,London,Greater London,SW1V 2LP,City of Westminster London Boro,2078288971,www.nikonownermagazine.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,7808,91392036,Centaur Media,7420599,Manufacturing and Production,Industrial Products,Published Goods,529342,181361,1,10033579368,osgb5000005290232945,1,8400276,1,13.4,Wells House 77-79,Wells Street,London,Greater London,W1T 3QP,City of Westminster London Boro,2079704000,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,7902,166809212,Asian Affairs,7420599,Manufacturing and Production,Industrial Products,Published Goods,528556.3,181102.1,1,10091858466,osgb1000005294556,3,8401034,1,10.4,34-36,South Molton Street,London,Greater London,W1K 5RG,City of Westminster London Boro,2074095113,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,8629,103286383,Twenty 6 Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,529102.9,181369.8,1,1.00E+11,osgb1000005428519,3,8400603,1,22.8,20,Great Portland Street,London,Greater London,W1W 8QR,City of Westminster London Boro,2035833436,www.twenty6magazine.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,10038,108333127,Oxford Business Group,7420599,Manufacturing and Production,Industrial Products,Published Goods,528981.8,181945.5,1,1.00E+11,osgb1000005292654,10,8401379,2,21.3,Douglas House 131-151,Great Titchfield Street,London,Greater London,W1W 5BB,City of Westminster London Boro,2074037213,www.oxfordbusinessgroup.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,10623,108357595,Tank Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,528984,181602,1,1.00E+11,osgb1000005292978,7,8400603,1,23.7,91-93,Great Portland Street,London,Greater London,W1W 7NX,City of Westminster London Boro,2076370303,www.tankmagazine.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,10676,109082350,Mym-e Ltd,7420599,Manufacturing and Production,Industrial Products,Published Goods,528639,181046,1,10091858481,osgb1000005294575,3,8401034,1,14,54,South Molton Street,London,Greater London,W1K 5SG,City of Westminster London Boro,2070990509,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,10849,123119430,The Economist Group,7420599,Manufacturing and Production,Industrial Products,Published Goods,530410,180578,1,1.00E+11,osgb1000005574090,7,8400482,1,34.6,The Adelphi 1-11,John Adam Street,London,Greater London,WC2N 6HT,City of Westminster London Boro,2078307000,www.economist.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,11136,124776094,Citywealth,7420599,Manufacturing and Production,Industrial Products,Published Goods,527805,181680,1,10033622259,osgb1000042196476,2,8401427,1,8.5,11a,Montagu Mews North,London,Greater London,W1H 2JZ,City of Westminster London Boro,2074875858,www.citywealthmag.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,11360,124005511,International Securities Services,7420599,Manufacturing and Production,Industrial Products,Published Goods,528024,181842,1,10033651749,osgb1000005294050,6,8400386,1,16.1,Basement and Ground Floor 13,David Mews,London,Greater London,W1U 6EQ,City of Westminster London Boro,7894079656,,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,11592,125611641,Marketing Week,7420599,Manufacturing and Production,Industrial Products,Published Goods,529342,181361,1,10033579368,osgb5000005290232945,1,8400276,1,13.4,Wells House 77-79,Wells Street,London,Greater London,W1T 3QP,City of Westminster London Boro,2079704000,www.marketingweek.com,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,11855,125666912,Taxbriefs,7420599,Manufacturing and Production,Industrial Products,Published Goods,529342,181361,1,10033579368,osgb5000005290232945,1,8400276,1,13.4,Wells House 77-79,Wells Street,London,Greater London,W1T 3QP,City of Westminster London Boro,2079704000,www.taxbriefs.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,12009,125867479,Pharmacy Magazine,7420599,Manufacturing and Production,Industrial Products,Published Goods,529231,180878,1,10033542549,osgb1000042219241,4,8401217,1,32.7,"Room 242 Second Floor, Linen Hall, 162-168",Regent Street,London,Greater London,W1B 5TB,City of Westminster London Boro,2074341530,www.pharmacymagazine.co.uk,,,,118 Information,2024/6/1
Information and Communication,5814,Publishing of Journals and Periodicals,12085,125811757,Fact Mag,7420599,Manufacturing and Production,Industrial Products,Published Goods,529297,181068,1,10033614653,osgb1000005429011,3,8401402,1,7.9,18,Marshall Street,London,Greater London,W1F 7BE,City of Westminster London Boro,2070251381,www.factmag.com,,,,118 Information,2024/6/1
